S.NO,KGISTalukN,NEIGHBORS_new
1,Chikkodi,"3,4,5,12,13"
2,Athani,"3,13,15,23,33"
3,Raibag,"1,2,4,13,14,23"
4,Gokak,"1,3,5,6,8,9,10,14"
5,Hukkeri,"1,4,6,12"
6,Belagavi,"4,5,7,9,11"
7,Khanapur,"6,11,82,85,86,95"
8,Savadatti,"4,9,10,69,76,77"
9,Bailhongal,"4,6,8,11,76"
10,Ramadurg,"4,8,14,17,18,69"
11,Kitthuru,"6,7,9,76,82"
12,Nippani,"1,5"
13,Kagavada,"1,2,3"
14,Mudalagi,"3,4,10,17,23"
15,Jamakhandi,"2,16,17,23,30,33"
16,Bilagi,"15,17,19,29,30,34"
17,Mudhol,"10,14,15,16,18,19,23"
18,Badami,"10,17,19,21,63,69,70,74"
19,Bagalkote,"16,17,18,20,21,28,29"
20,Hungund,"19,21,22,28,63"
21,Guledagudda,"18,19,20,22,63"
22,Ilkal,"20,21,28,55,63"
23,Rabakavi_banahatti,"2,3,14,15,17"
24,Bijapur,"25,27,30,31,33,35"
25,Indi,"24,26,31,35,37"
26,Sindagi,"25,35,42,45"
27,Basavan_bagewadi,"24,28,29,30,32,34,35"
28,Muddebihal,"19,20,22,27,29,32,55,221"
29,Nidagundi,"16,19,27,28,34"
30,Babaleshwara,"15,16,24,27,33,34"
31,Chadachana,"24,25"
32,Talikote,"27,28,35,218,221"
33,Tikota,"2,15,24,30"
34,Kolhara,"16,27,29,30"
35,Devara_hipparagi,"24,25,26,27,32,45,218"
36,Aland,"37,38,44,47"
37,Afzalpur,"25,36,38,42"
38,Gulbarga,"36,37,41,42,43,44,46"
39,Chincholi,"40,43,44,52"
40,Sedam,"39,41,43,216,219"
41,Chittapur,"38,40,42,43,46,216,217"
42,Jevargi,"26,37,38,41,45,46,217"
43,Kalagi,"38,39,40,41,44"
44,Kamalapura,"36,38,39,43,47,51,52"
45,Yadrami,"26,35,42,217,218"
46,Shahbadha,"38,41,42"
47,Basavakalyan,"36,44,51,54"
48,Bhalki,"49,50,51,53,54"
49,Aurad,"48,50,53"
50,Bidar,"48,49,51,52"
51,Humnabad,"44,47,48,50,52,54"
52,Chittaguppa,"39,44,50,51"
53,Kamalanagara,"48,49"
54,Hulasuru,"47,48,51"
55,Lingasugur,"22,28,56,60,61,63,218,221"
56,Devdurga,"55,57,61,217,218,220"
57,Raichur,"56,58,61,220"
58,Manvi,"57,59,60,61"
59,Sindhanur,"58,60,63,66,68,104"
60,Maski,"55,58,59,61,63"
61,Sirivara,"55,56,57,58,60"
62,Yelburga,"63,65,67,68,74"
63,Kushtagi,"18,20,21,22,55,59,60,62,68,74"
64,Gangavathi,"65,66,68,108,222"
65,koppal,"62,64,67,68,73,222,224,227"
66,Karatagi,"59,64,68,104,108"
67,Kukanuru,"62,65,71,73,74"
68,Kanakagiri,"59,62,63,64,65,66"
69,Naragund,"8,10,18,70,77"
70,Rona,"18,69,71,74,77"
71,Gadag,"67,70,72,73,74,75,77,78,83"
72,Shirahatti,"71,73,75,80,99,227"
73,Mundargi,"65,67,71,72,227"
74,Gajendragad,"18,62,63,67,70,71"
75,Laxmeshwar,"71,72,78,80,97,99"
76,Dharwad,"8,9,11,77,78,79,81,82,86"
77,Navalgund,"8,69,70,71,76,78,83"
78,Hubli,"71,75,76,77,79,80,81,83,96"
79,Kalgatgi,"76,78,81,86,87,88,96"
80,Kundgol,"72,75,78,83,96,97"
81,Hubballi_nagara,"76,78,79"
82,Alnavara,"7,11,76,86"
83,Annigeri,"71,77,78,80"
84,Karwar,"85,87,90"
85,Joida,"7,84,86,87,95"
86,Haliyal,"7,76,79,82,85,87,95"
87,Yellapur,"79,84,85,86,88,89,90,95"
88,Mundgod,"79,87,89,96,98"
89,Sirsi,"87,88,90,91,92,98,122"
90,Ankola,"84,87,89,91"
91,Kumta,"89,90,92,93"
92,Siddapur,"89,91,93,121,122"
93,Honnavar,"91,92,94,121"
94,Bhatkal,"93,121,131"
95,Dandelli,"7,85,86,87"
96,Shiggaon,"78,79,80,88,97,98"
97,Savanur,"75,80,96,98,99"
98,Hangal,"88,89,96,97,99,100,101,122"
99,Haveri,"72,75,97,98,100,102,227"
100,Byadagi,"98,99,101,102"
101,Hirekerur,"98,100,102,103,122,100"
102,Ranebennur,"99,100,101,103,115,200,000"
103,Rattihalli,"101,102,115,118,123"
104,Siraguppa,"59,66,105,107,108"
105,Ballari,"104,106,107"
106,Sonduru,"105,107,108,109,222,000,000"
107,Kurugodu,"104,105,106,108"
108,Kampli,"64,66,104,106,107,222"
109,Molakalmuru,"106,110,223"
110,Challakere,"109,111,114,116,145,000"
111,Chitradurga,"110,112,114,116,117"
112,Holalkere,"111,113,114,117,119,000"
113,Hosadurga,"112,114,139,142,143"
114,Hiriyur,"110,111,112,113,143,000"
115,Harihar,"102,103,117,118,225"
116,Jagaluru,"110,111,117,223,225,000"
117,Davanagere,"111,112,115,116,118,000,000"
118,Honnali,"103,115,117,119,120,000,000"
119,Channagiri,"112,117,118,127,138,000"
120,Nyamati,"118,123,126,127"
121,Sagara,"92,93,94,122,123,124,126,131"
122,Soraba,"89,92,98,101,121,123"
123,Shikaripura,"101,103,118,120,121,000,000"
124,Hosanagar,"121,125,126,128,131"
125,Thirthahalli,"124,126,128,134,135,000,000"
126,Shimoga,"120,121,123,124,125,000,000"
127,Bhadravathi,"118,119,120,126,137,000"
128,Kundapur,"124,125,131,132,134"
129,Udupi,"130,132,133,134"
130,Karkala,"129,133,134,135,185,000"
131,Bynduru,"94,121,124,128"
132,Bramhavara,"128,129,134"
133,Kapu,"129,130"
134,Hebri,"125,128,129,130,132,000"
135,Sringeri,"125,130,134,136"
136,Koppa,"125,135,137"
137,Narasimharajapura,"125,126,127,136,138,000,000"
138,Tarikere,"119,127,137,139,140,000"
139,Kadur,"113,138,140,142,143,000"
140,Chikmagalur,"137,138,139,141,176,000"
141,Mudigere,"137,140,175,176,185"
142,Ajjampura,"112,113,119,138,139"
143,Chiknayakanahalli,"113,114,139,144,149,000,000"
144,Sira,"114,143,146,147,148,000"
145,Pavagada,110
146,Madhugiri,"144,147,206"
147,Koratagere,"144,146,148,164,165,000"
148,Tumkur,"144,147,149,152,164,000"
149,Gubbi,"143,144,148,150,151,000"
150,Tiptur,"143,149,151,177,182"
151,Turuvekere,"149,150,152,169,182"
152,Kunigal,"148,149,151,169,173,000,000,000"
153,Srinivaspura,"154,157,211"
154,Kolar,"153,155,156,157,158,000,000,000"
155,Malur,"154,156,167"
156,Bangarpet,"154,155,158"
157,Mulabagilu,"153,154,158"
158,K.g.f,"154,156,157"
159,Bangalore_(north),"160,162,163,164,165"
160,Bangalore-south,"159,161,162,164,212,000"
161,Anekal,"160,162,167"
162,Bangalore-east,"159,160,161,163,166,000"
163,Yelahanka,"159,162,165,166"
164,Nelamangala,"147,148,159,160,165,000"
165,Doddaballapura,"147,159,163,164,166,000,000"
166,Devanahalli,"162,163,165,167,207,000"
167,Hoskote,"154,155,161,162,166,000"
168,Krishnarajpet,"169,170,181,182,195"
169,Nagamangala,"151,152,168,170,172,000,000"
170,Pandavpura,"168,169,171,172,195,000"
171,Srirangapatna,"170,172,196,199"
172,Mandya,"169,170,171,173,174,000"
173,Maddur,"152,169,172,174,214"
174,Malavalli,"172,173,199,204,205,000,000"
175,Sakleshpura,"141,176,179,185,189,000"
176,Belur,"140,141,175,177,178,000"
177,Arsikere,"139,140,143,150,176,000,000"
178,Hassan,"176,177,179,180,181,000"
179,Alur,"175,176,178,180,191"
180,Arkalgud,"178,179,181,191,193,000"
181,Holenarasipura,"168,178,180,182,195"
182,Channarayapatna,"150,151,168,169,177,000,000"
183,Mangalore,"184,188"
184,Bantwal,"183,185,186,188"
185,Belthangady,"130,141,175,184,186,000,000"
186,Puttur,"184,185,187,189"
187,Sulya,"186,189,190,191"
188,Mudabidri,"130,183,184,185"
189,Kadaba,"175,185,186,187,191"
190,Madikeri,"187,191,192"
191,Somawarpet,"175,179,180,187,189,000"
192,Virajpet,"190,193"
193,Piriyapatna,"180,192,194,195"
194,Hunsur,"193,195,196,197"
195,K.r.nagar,"168,170,180,181,193,000,000"
196,Mysuru,"170,171,194,195,197,000,000"
197,Heggadadevanakote,"194,196,198,200"
198,Nanjangud,"196,197,199,200,201,000"
199,T.narasipura,"171,172,174,196,198,000,000"
200,Saraguru,"197,198,201"
201,Gundlupet,"198,200,202"
202,Chamarajanagara,"198,199,201,203,204,000"
203,Yalandur,"202,204,205"
204,Kollegala,"174,199,202,203,205"
205,Kollegala(hanur),"174,202,203,204,215"
206,Gauribidanur,"146,147,165,207,208"
207,Chikballapur,"165,166,206,208,210"
208,Gudibande,"206,207,209,210"
209,Bagepalli,"208,210,211"
210,Shidlagatta,"154,166,167,207,208,000,000"
211,Chinthamani,"153,154,209,210"
212,Magadi,"148,152,160,164,213"
213,Ramanagar,"152,160,212,214,215"
214,Channapatna,"152,173,174,213,215"
215,Kanakpura,"174,205,213,214"
216,Yadgir,"40,41,217,219,220"
217,Shahapur,"41,42,45,56,216,218,220"
218,Shorapur,"32,35,45,55,56,217,221"
219,Gurumithakala,"40,216"
220,Vadagera,"56,57,216,217"
221,Hunisigi,"28,32,55,218"
222,Hospet,"64,65,106,108,224"
223,Kudligi,"106,109,110,116,224,000"
224,Hagaribommanahalli,"65,106,222,223,226,200"
225,Harapanahalli,"102,115,116,117,226,000"
226,Kotturu,"116,223,224,225,227"
227,Hadagali,"65,72,73,99,102,224,225,226"
